09:57:53 | 200 |            0s | 127.0.0.1 | GET | /ping | -
11:40:18 | 404 |       526.8µs | 127.0.0.1 | GET | /api/placement/%7B%7BADS_ID%7D%7D | Cannot GET /api/placement/%7B%7BADS_ID%7D%7D
11:40:34 | 404 |            0s | 127.0.0.1 | GET | /api/placement/1 | Cannot GET /api/placement/1
11:42:12 | 500 |      1.6127ms | 127.0.0.1 | GET | /api/placement/1 | -
11:43:26 | 500 |      1.7011ms | 127.0.0.1 | GET | /api/placement/1 | -
11:45:07 | 500 |      2.7086ms | 127.0.0.1 | GET | /api/placement/1 | -
11:46:05 | 500 |      3.8721ms | 127.0.0.1 | GET | /api/placement/1 | -
11:59:44 | 500 |      3.1341ms | 127.0.0.1 | GET | /api/placement/1 | -
12:05:09 | 500 |     10.5439ms | 127.0.0.1 | GET | /api/placement/1 | -
12:06:18 | 500 |      6.5651ms | 127.0.0.1 | GET | /api/placement/1 | -
12:06:49 | 500 |      2.7792ms | 127.0.0.1 | GET | /api/placement/1 | -
12:07:43 | 200 |      3.6011ms | 127.0.0.1 | GET | /api/placement/1 | -
12:08:27 | 500 |       3.182ms | 127.0.0.1 | GET | /api/placement/1 | -
12:09:30 | 500 |      3.1512ms | 127.0.0.1 | GET | /api/placement/1 | -
12:10:39 | 500 |      2.5555ms | 127.0.0.1 | GET | /api/placement/1 | -
12:11:53 | 500 |      1.8709ms | 127.0.0.1 | GET | /api/placement/1 | -
12:14:19 | 500 |      1.6564ms | 127.0.0.1 | GET | /api/placement/1 | -
12:15:13 | 500 |       3.321ms | 127.0.0.1 | GET | /api/placement/1 | -
12:20:55 | 500 |      4.5989ms | 127.0.0.1 | GET | /api/placement/1 | -
12:22:28 | 500 |      3.3652ms | 127.0.0.1 | GET | /api/placement/1 | -
12:24:25 | 500 |      6.6326ms | 127.0.0.1 | GET | /api/placement/1 | -
12:24:26 | 500 |      3.7645ms | 127.0.0.1 | GET | /api/placement/1 | -
12:24:27 | 500 |      5.9424ms | 127.0.0.1 | GET | /api/placement/1 | -
12:24:28 | 500 |      5.0121ms | 127.0.0.1 | GET | /api/placement/1 | -
12:25:57 | 500 |      3.2569ms | 127.0.0.1 | GET | /api/placement/1 | -
12:26:51 | 500 |      3.3819ms | 127.0.0.1 | GET | /api/placement/1 | -
12:28:51 | 500 |      2.7683ms | 127.0.0.1 | GET | /api/placement/1 | -
12:30:13 | 500 |      4.7386ms | 127.0.0.1 | GET | /api/placement/1 | -
12:30:14 | 500 |      7.6885ms | 127.0.0.1 | GET | /api/placement/1 | -
12:30:15 | 500 |      5.5966ms | 127.0.0.1 | GET | /api/placement/1 | -
12:38:06 | 500 |      3.6807ms | 127.0.0.1 | GET | /api/placement/1 | -
12:38:30 | 500 |       3.545ms | 127.0.0.1 | GET | /api/placement/1 | -
13:40:41 | 200 |      5.5278ms | 127.0.0.1 | GET | /api/placement/1 | -
13:43:23 | 500 |       5.586ms | 127.0.0.1 | GET | /api/placement/1 | -
13:44:14 | 200 |      3.6667ms | 127.0.0.1 | GET | /api/placement/1 | -
13:45:56 | 200 |      4.2201ms | 127.0.0.1 | GET | /api/placement/1 | -
16:32:19 | 200 |     16.4247ms | 127.0.0.1 | GET | /api/placement/1 | -
16:33:16 | 200 |      2.8013ms | 127.0.0.1 | GET | /api/placement/1 | -
16:47:44 | 200 |       7.776ms | 127.0.0.1 | GET | /api/placement/1 | -
16:48:59 | 200 |      8.1128ms | 127.0.0.1 | GET | /api/placement/1 | -
16:49:30 | 200 |      7.9214ms | 127.0.0.1 | GET | /api/placement/1 | -
16:50:49 | 200 |      7.7463ms | 127.0.0.1 | GET | /api/placement/13 | -
16:51:13 | 200 |     11.1206ms | 127.0.0.1 | GET | /api/placement/13 | -
09:25:56 | 200 |     14.0813ms | 127.0.0.1 | GET | /api/placement/10 | -
09:26:46 | 200 |      6.2386ms | 127.0.0.1 | GET | /api/placement/11 | -
09:48:33 | 200 |     10.6714ms | 127.0.0.1 | GET | /api/placement/10 | -
09:48:37 | 200 |      4.6591ms | 127.0.0.1 | GET | /api/placement/11 | -
10:07:36 | 200 |      6.6069ms | 127.0.0.1 | GET | /api/placement/11 | -
10:10:23 | 200 |       8.997ms | 127.0.0.1 | GET | /api/placement/11 | -
10:24:35 | 200 |       574.4µs | 127.0.0.1 | GET | /api/ads/11 | -
10:28:23 | 200 |     14.3026ms | 127.0.0.1 | GET | /api/ads/11 | -
10:28:49 | 404 |            0s | 127.0.0.1 | GET | /api/ads/sdf | Cannot GET /api/ads/sdf
10:28:54 | 500 |       999.5µs | 127.0.0.1 | GET | /api/ads/12312 | -
10:35:15 | 404 |       4.078ms | 127.0.0.1 | GET | /api/ads/12312 | -
10:36:08 | 500 |      2.8919ms | 127.0.0.1 | GET | /api/ads/12312 | -
10:36:48 | 500 |       6.584ms | 127.0.0.1 | GET | /api/ads/12312 | -
10:39:22 | 404 |      7.2795ms | 127.0.0.1 | GET | /api/ads/12312 | -
10:39:23 | 404 |      2.1831ms | 127.0.0.1 | GET | /api/ads/12312 | -
10:39:29 | 200 |         999µs | 127.0.0.1 | GET | /api/ads/11 | -
10:39:35 | 404 |      4.3536ms | 127.0.0.1 | GET | /api/ads/1121312 | -
10:44:41 | 404 |      6.8579ms | 127.0.0.1 | GET | /api/ads/1121312 | -
10:44:49 | 200 |       853.3µs | 127.0.0.1 | GET | /api/ads/11 | -
11:41:04 | 200 |      3.2752ms | 127.0.0.1 | GET | /api/ads/11 | -
11:42:21 | 200 |      1.6817ms | 127.0.0.1 | GET | /api/ads/11 | -
11:43:22 | 200 |      2.0952ms | 127.0.0.1 | GET | /api/ads/11 | -
11:45:03 | 200 |      1.0682ms | 127.0.0.1 | GET | /api/ads/11 | -
11:45:06 | 404 |      1.2712ms | 127.0.0.1 | GET | /api/ads/11333 | -
11:45:14 | 200 |      1.7506ms | 127.0.0.1 | GET | /api/ads/11 | -
12:35:08 | 200 |       695.3µs | 127.0.0.1 | GET | /api/ads/11 | -
12:35:14 | 200 |            0s | 127.0.0.1 | GET | /api/ads/10 | -
12:35:19 | 404 |      1.8468ms | 127.0.0.1 | GET | /api/ads/1033 | -
12:35:26 | 200 |       1.377ms | 127.0.0.1 | GET | /api/ads/11 | -
12:36:01 | 200 |       9.505ms | 127.0.0.1 | GET | /api/placement/11 | -
12:36:08 | 200 |         5.1ms | 127.0.0.1 | GET | /api/placement/11 | -
12:36:16 | 200 |       890.4µs | 127.0.0.1 | GET | /api/ads/11 | -
12:36:24 | 200 |       989.1µs | 127.0.0.1 | GET | /api/ads/12 | -
